country_id,state_id,fips,population
US,AL,00001,4903185
US,AL,01001,55869
US,AL,01003,223234
US,AL,01005,24686
US,AL,01007,22394
US,AL,01009,57826
US,AL,01011,10101
US,AL,01013,19448
US,AL,01015,113605
US,AL,01017,33254
US,AL,01019,26196
US,AL,01021,44428
US,AL,01023,12589
US,AL,01025,23622
US,AL,01027,13235
US,AL,01029,14910
US,AL,01031,52342
US,AL,01033,55241
US,AL,01035,12067
US,AL,01037,10663
US,AL,01039,37049
US,AL,01041,13772
US,AL,01043,83768
US,AL,01045,49172
US,AL,01047,37196
US,AL,01049,71513
US,AL,01051,81209
US,AL,01053,36633
US,AL,01055,102268
US,AL,01057,16302
US,AL,01059,31362
US,AL,01061,26271
US,AL,01063,8111
US,AL,01065,14651
US,AL,01067,17205
US,AL,01069,105882
US,AL,01071,51626
US,AL,01073,658573
US,AL,01075,13805
US,AL,01077,92729
US,AL,01079,32924
US,AL,01081,164542
US,AL,01083,98915
US,AL,01085,9726
US,AL,01087,18068
US,AL,01089,372909
US,AL,01091,18863
US,AL,01093,29709
US,AL,01095,96774
US,AL,01097,413210
US,AL,01099,20733
US,AL,01101,226486
US,AL,01103,119679
US,AL,01105,8923
US,AL,01107,19930
US,AL,01109,33114
US,AL,01111,22722
US,AL,01113,57961
US,AL,01115,89512
US,AL,01117,217702
US,AL,01119,12427
US,AL,01121,79978
US,AL,01123,40367
US,AL,01125,209355
US,AL,01127,63521
US,AL,01129,16326
US,AL,01131,10373
US,AL,01133,23629
US,AK,00002,731545
US,AK,02013,3337
US,AK,02016,5634
US,AK,02020,288000
US,AK,02050,18386
US,AK,02060,836
US,AK,02068,2097
US,AK,02070,4916
US,AK,02090,96849
US,AK,02100,2530
US,AK,02105,2148
US,AK,02110,31974
US,AK,02122,58708
US,AK,02130,13901
US,AK,02150,12998
US,AK,02158,8314
US,AK,02164,1592
US,AK,02170,108317
US,AK,02180,10004
US,AK,02185,9832
US,AK,02188,7621
US,AK,02195,3266
US,AK,02198,6203
US,AK,02220,8493
US,AK,02230,1183
US,AK,02240,6893
US,AK,02261,9202
US,AK,02275,2502
US,AK,02282,579
US,AK,02290,5230
US,AZ,00004,7278717
US,AZ,04001,71887
US,AZ,04003,125922
US,AZ,04005,143476
US,AZ,04007,54018
US,AZ,04009,38837
US,AZ,04011,9498
US,AZ,04012,21108
US,AZ,04013,4485414
US,AZ,04015,212181
US,AZ,04017,110924
US,AZ,04019,1047279
US,AZ,04021,462789
US,AZ,04023,46498
US,AZ,04025,235099
US,AZ,04027,213787
US,AR,00005,3017804
US,AR,05001,17486
US,AR,05003,19657
US,AR,05005,41932
US,AR,05007,279141
US,AR,05009,37432
US,AR,05011,10763
US,AR,05013,5189
US,AR,05015,28380
US,AR,05017,10118
US,AR,05019,22320
US,AR,05021,14551
US,AR,05023,24919
US,AR,05025,7956
US,AR,05027,23457
US,AR,05029,20846
US,AR,05031,110332
US,AR,05033,63257
US,AR,05035,47955
US,AR,05037,16419
US,AR,05039,7009
US,AR,05041,11361
US,AR,05043,18219
US,AR,05045,126007
US,AR,05047,17715
US,AR,05049,12477
US,AR,05051,99386
US,AR,05053,18265
US,AR,05055,45325
US,AR,05057,21532
US,AR,05059,33771
US,AR,05061,13202
US,AR,05063,37825
US,AR,05065,13629
US,AR,05067,16719
US,AR,05069,66824
US,AR,05071,26578
US,AR,05073,6624
US,AR,05075,16406
US,AR,05077,8857
US,AR,05079,13024
US,AR,05081,12259
US,AR,05083,21466
US,AR,05085,73309
US,AR,05087,16576
US,AR,05089,16694
US,AR,05091,43257
US,AR,05093,40651
US,AR,05095,6701
US,AR,05097,8986
US,AR,05099,8252
US,AR,05101,7753
US,AR,05103,23382
US,AR,05105,10455
US,AR,05107,17782
US,AR,05109,10718
US,AR,05111,23528
US,AR,05113,19964
US,AR,05115,64072
US,AR,05117,8062
US,AR,05119,391911
US,AR,05121,17958
US,AR,05123,24994
US,AR,05125,122437
US,AR,05127,10281
US,AR,05129,7881
US,AR,05131,127827
US,AR,05133,17007
US,AR,05135,17442
US,AR,05137,12506
US,AR,05139,38682
US,AR,05141,16545
US,AR,05143,239187
US,AR,05145,78753
US,AR,05147,6320
US,AR,05149,21341
US,CA,00006,39512223
US,CA,06001,1671329
US,CA,06003,1129
US,CA,06005,39752
US,CA,06007,219186
US,CA,06009,45905
US,CA,06011,21547
US,CA,06013,1153526
US,CA,06015,27812
US,CA,06017,192843
US,CA,06019,999101
US,CA,06021,28393
US,CA,06023,135558
US,CA,06025,181215
US,CA,06027,18039
US,CA,06029,900202
US,CA,06031,152940
US,CA,06033,64386
US,CA,06035,30573
US,CA,06037,10039107
US,CA,06039,157327
US,CA,06041,258826
US,CA,06043,17203
US,CA,06045,86749
US,CA,06047,277680
US,CA,06049,8841
US,CA,06051,14444
US,CA,06053,434061
US,CA,06055,137744
US,CA,06057,99755
US,CA,06059,3175692
US,CA,06061,398329
US,CA,06063,18807
US,CA,06065,2470546
US,CA,06067,1552058
US,CA,06069,62808
US,CA,06071,2180085
US,CA,06073,3338330
US,CA,06075,881549
US,CA,06077,762148
US,CA,06079,283111
US,CA,06081,766573
US,CA,06083,446499
US,CA,06085,1927852
US,CA,06087,273213
US,CA,06089,180080
US,CA,06091,3005
US,CA,06093,43539
US,CA,06095,447643
US,CA,06097,494336
US,CA,06099,550660
US,CA,06101,96971
US,CA,06103,65084
US,CA,06105,12285
US,CA,06107,466195
US,CA,06109,54478
US,CA,06111,846006
US,CA,06113,220500
US,CA,06115,78668
US,CO,00008,5758736
US,CO,08001,517421
US,CO,08003,16233
US,CO,08005,656590
US,CO,08007,14029
US,CO,08009,3581
US,CO,08011,5577
US,CO,08013,326196
US,CO,08014,70465
US,CO,08015,20356
US,CO,08017,1831
US,CO,08019,9700
US,CO,08021,8205
US,CO,08023,3887
US,CO,08025,6061
US,CO,08027,5068
US,CO,08029,31162
US,CO,08031,727211
US,CO,08033,2055
US,CO,08035,351154
US,CO,08037,55127
US,CO,08039,26729
US,CO,08041,720403
US,CO,08043,47839
US,CO,08045,60061
US,CO,08047,6243
US,CO,08049,15734
US,CO,08051,17462
US,CO,08053,820
US,CO,08055,6897
US,CO,08057,1392
US,CO,08059,582881
US,CO,08061,1406
US,CO,08063,7097
US,CO,08065,8127
US,CO,08067,56221
US,CO,08069,356899
US,CO,08071,14506
US,CO,08073,5701
US,CO,08075,22409
US,CO,08077,154210
US,CO,08079,769
US,CO,08081,13283
US,CO,08083,26183
US,CO,08085,42758
US,CO,08087,29068
US,CO,08089,18278
US,CO,08091,4952
US,CO,08093,18845
US,CO,08095,4265
US,CO,08097,17767
US,CO,08099,12172
US,CO,08101,168424
US,CO,08103,6324
US,CO,08105,11267
US,CO,08107,25638
US,CO,08109,6824
US,CO,08111,728
US,CO,08113,8179
US,CO,08115,2248
US,CO,08117,31011
US,CO,08119,25388
US,CO,08121,4908
US,CO,08123,324492
US,CO,08125,10019
US,CT,00009,3565287
US,CT,09001,943332
US,CT,09003,891720
US,CT,09005,180333
US,CT,09007,162436
US,CT,09009,854757
US,CT,09011,265206
US,CT,09013,150721
US,CT,09015,116782
US,DE,00010,973764
US,DE,10001,180786
US,DE,10003,558753
US,DE,10005,234225
US,DC,00011,705749
US,DC,11001,705749
US,FL,00012,21477737
US,FL,12001,269043
US,FL,12003,29210
US,FL,12005,174705
US,FL,12007,28201
US,FL,12009,601942
US,FL,12011,1952778
US,FL,12013,14105
US,FL,12015,188910
US,FL,12017,149657
US,FL,12019,219252
US,FL,12021,384902
US,FL,12023,71686
US,FL,12027,38001
US,FL,12029,16826
US,FL,12031,957755
US,FL,12033,318316
US,FL,12035,115081
US,FL,12037,12125
US,FL,12039,45660
US,FL,12041,18582
US,FL,12043,13811
US,FL,12045,13639
US,FL,12047,14428
US,FL,12049,26937
US,FL,12051,42022
US,FL,12053,193920
US,FL,12055,106221
US,FL,12057,1471968
US,FL,12059,19617
US,FL,12061,159923
US,FL,12063,46414
US,FL,12065,14246
US,FL,12067,8422
US,FL,12069,367118
US,FL,12071,770577
US,FL,12073,293582
US,FL,12075,41503
US,FL,12077,8354
US,FL,12079,18493
US,FL,12081,403253
US,FL,12083,365579
US,FL,12085,161000
US,FL,12086,2716940
US,FL,12087,74228
US,FL,12089,88625
US,FL,12091,210738
US,FL,12093,42168
US,FL,12095,1393452
US,FL,12097,375751
US,FL,12099,1496770
US,FL,12101,553947
US,FL,12103,974996
US,FL,12105,724777
US,FL,12107,74521
US,FL,12109,264672
US,FL,12111,328297
US,FL,12113,184313
US,FL,12115,433742
US,FL,12117,471826
US,FL,12119,132420
US,FL,12121,44417
US,FL,12123,21569
US,FL,12125,15237
US,FL,12127,553284
US,FL,12129,33739
US,FL,12131,74071
US,FL,12133,25473
US,GA,00013,10617423
US,GA,13001,18386
US,GA,13003,8165
US,GA,13005,11164
US,GA,13007,3038
US,GA,13009,44890
US,GA,13011,19234
US,GA,13013,83240
US,GA,13015,107738
US,GA,13017,16700
US,GA,13019,19397
US,GA,13021,153159
US,GA,13023,12873
US,GA,13025,19109
US,GA,13027,15457
US,GA,13029,39627
US,GA,13031,79608
US,GA,13033,22383
US,GA,13035,24936
US,GA,13037,6189
US,GA,13039,54666
US,GA,13043,10803
US,GA,13045,119992
US,GA,13047,67580
US,GA,13049,13392
US,GA,13051,289430
US,GA,13053,10907
US,GA,13055,24789
US,GA,13057,258773
US,GA,13059,128331
US,GA,13061,2834
US,GA,13063,292256
US,GA,13065,6618
US,GA,13067,760141
US,GA,13069,43273
US,GA,13071,45600
US,GA,13073,156714
US,GA,13075,17270
US,GA,13077,148509
US,GA,13079,12404
US,GA,13081,22372
US,GA,13083,16116
US,GA,13085,26108
US,GA,13087,26404
US,GA,13089,759297
US,GA,13091,20605
US,GA,13093,13390
US,GA,13095,87956
US,GA,13097,146343
US,GA,13099,10190
US,GA,13101,4006
US,GA,13103,64296
US,GA,13105,19194
US,GA,13107,22646
US,GA,13109,10654
US,GA,13111,26188
US,GA,13113,114421
US,GA,13115,98498
US,GA,13117,244252
US,GA,13119,23349
US,GA,13121,1063937
US,GA,13123,31369
US,GA,13125,2971
US,GA,13127,85292
US,GA,13129,57963
US,GA,13131,24633
US,GA,13133,18324
US,GA,13135,936250
US,GA,13137,45328
US,GA,13139,204441
US,GA,13141,8457
US,GA,13143,29792
US,GA,13145,35236
US,GA,13147,26205
US,GA,13149,11923
US,GA,13151,234561
US,GA,13153,157863
US,GA,13155,9416
US,GA,13157,72977
US,GA,13159,14219
US,GA,13161,15115
US,GA,13163,15362
US,GA,13165,8676
US,GA,13167,9643
US,GA,13169,28735
US,GA,13171,19077
US,GA,13173,10423
US,GA,13175,47546
US,GA,13177,29992
US,GA,13179,61435
US,GA,13181,7921
US,GA,13183,19559
US,GA,13185,117406
US,GA,13187,33610
US,GA,13189,21312
US,GA,13191,14378
US,GA,13193,12947
US,GA,13195,29880
US,GA,13197,8359
US,GA,13199,21167
US,GA,13201,5718
US,GA,13205,21863
US,GA,13207,27578
US,GA,13209,9172
US,GA,13211,19276
US,GA,13213,40096
US,GA,13215,195769
US,GA,13217,111744
US,GA,13219,40280
US,GA,13221,15259
US,GA,13223,168667
US,GA,13225,27546
US,GA,13227,32591
US,GA,13229,19465
US,GA,13231,18962
US,GA,13233,42613
US,GA,13235,11137
US,GA,13237,22119
US,GA,13239,2299
US,GA,13241,17137
US,GA,13243,6778
US,GA,13245,202518
US,GA,13247,90896
US,GA,13249,5257
US,GA,13251,13966
US,GA,13253,8090
US,GA,13255,66703
US,GA,13257,25925
US,GA,13259,6621
US,GA,13261,29524
US,GA,13263,6195
US,GA,13265,1537
US,GA,13267,25286
US,GA,13269,8020
US,GA,13271,15860
US,GA,13273,8531
US,GA,13275,44451
US,GA,13277,40644
US,GA,13279,26830
US,GA,13281,12037
US,GA,13283,6901
US,GA,13285,69922
US,GA,13287,7985
US,GA,13289,8120
US,GA,13291,24511
US,GA,13293,26320
US,GA,13295,69761
US,GA,13297,94593
US,GA,13299,35734
US,GA,13301,5254
US,GA,13303,20374
US,GA,13305,29927
US,GA,13307,2607
US,GA,13309,7855
US,GA,13311,30798
US,GA,13313,104628
US,GA,13315,8635
US,GA,13317,9777
US,GA,13319,8954
US,GA,13321,20247
US,HI,00015,1415872
US,HI,15001,201513
US,HI,15003,974563
US,HI,15005,86
US,HI,15007,72293
US,HI,15009,167417
US,ID,00016,1787065
US,ID,16001,481587
US,ID,16003,4294
US,ID,16005,87808
US,ID,16007,6125
US,ID,16009,9298
US,ID,16011,46811
US,ID,16013,23021
US,ID,16015,7831
US,ID,16017,45739
US,ID,16019,119062
US,ID,16021,12245
US,ID,16023,2597
US,ID,16025,1106
US,ID,16027,229849
US,ID,16029,7155
US,ID,16031,24030
US,ID,16033,845
US,ID,16035,8756
US,ID,16037,4315
US,ID,16039,27511
US,ID,16041,13876
US,ID,16043,13099
US,ID,16045,18112
US,ID,16047,15179
US,ID,16049,16667
US,ID,16051,29871
US,ID,16053,24412
US,ID,16055,165697
US,ID,16057,40108
US,ID,16059,8027
US,ID,16061,3838
US,ID,16063,5366
US,ID,16065,39907
US,ID,16067,21039
US,ID,16069,40408
US,ID,16071,4531
US,ID,16073,11823
US,ID,16075,23951
US,ID,16077,7681
US,ID,16079,12882
US,ID,16081,12142
US,ID,16083,86878
US,ID,16085,11392
US,ID,16087,10194
US,IL,00017,12671821
US,IL,17001,65435
US,IL,17003,5761
US,IL,17005,16426
US,IL,17007,53544
US,IL,17009,6578
US,IL,17011,32628
US,IL,17013,4739
US,IL,17015,14305
US,IL,17017,12147
US,IL,17019,209689
US,IL,17021,32304
US,IL,17023,15441
US,IL,17025,13184
US,IL,17027,37562
US,IL,17029,50621
US,IL,17031,5150233
US,IL,17033,18667
US,IL,17035,10766
US,IL,17037,104897
US,IL,17039,15638
US,IL,17041,19465
US,IL,17043,922921
US,IL,17045,17161
US,IL,17047,6395
US,IL,17049,34008
US,IL,17051,21336
US,IL,17053,12961
US,IL,17055,38469
US,IL,17057,34340
US,IL,17059,4828
US,IL,17061,12969
US,IL,17063,51054
US,IL,17065,8116
US,IL,17067,17708
US,IL,17069,3821
US,IL,17071,6646
US,IL,17073,48913
US,IL,17075,27114
US,IL,17077,56750
US,IL,17079,9610
US,IL,17081,37684
US,IL,17083,21773
US,IL,17085,21235
US,IL,17087,12417
US,IL,17089,532403
US,IL,17091,109862
US,IL,17093,128990
US,IL,17095,49699
US,IL,17097,696535
US,IL,17099,108669
US,IL,17101,15678
US,IL,17103,34096
US,IL,17105,35648
US,IL,17107,28618
US,IL,17109,29682
US,IL,17111,307774
US,IL,17113,171517
US,IL,17115,104009
US,IL,17117,44926
US,IL,17119,262966
US,IL,17121,37205
US,IL,17123,11438
US,IL,17125,13359
US,IL,17127,13772
US,IL,17129,12196
US,IL,17131,15437
US,IL,17133,34637
US,IL,17135,28414
US,IL,17137,33658
US,IL,17139,14501
US,IL,17141,50643
US,IL,17143,179179
US,IL,17145,20916
US,IL,17147,16344
US,IL,17149,15561
US,IL,17151,4177
US,IL,17153,5335
US,IL,17155,5739
US,IL,17157,31782
US,IL,17159,15513
US,IL,17161,141879
US,IL,17163,259686
US,IL,17165,23491
US,IL,17167,194672
US,IL,17169,6768
US,IL,17171,4951
US,IL,17173,21634
US,IL,17175,5342
US,IL,17177,44498
US,IL,17179,131803
US,IL,17181,16653
US,IL,17183,75758
US,IL,17185,11520
US,IL,17187,16844
US,IL,17189,13887
US,IL,17191,16215
US,IL,17193,13537
US,IL,17195,55175
US,IL,17197,690743
US,IL,17199,66597
US,IL,17201,282572
US,IL,17203,38459
US,IN,00018,6732219
US,IN,18001,35777
US,IN,18003,379299
US,IN,18005,83779
US,IN,18007,8748
US,IN,18009,11758
US,IN,18011,67843
US,IN,18013,15092
US,IN,18015,20257
US,IN,18017,37689
US,IN,18019,118302
US,IN,18021,26225
US,IN,18023,32399
US,IN,18025,10577
US,IN,18027,33351
US,IN,18029,49458
US,IN,18031,26559
US,IN,18033,43475
US,IN,18035,114135
US,IN,18037,42736
US,IN,18039,206341
US,IN,18041,23102
US,IN,18043,78522
US,IN,18045,16346
US,IN,18047,22758
US,IN,18049,19974
US,IN,18051,33659
US,IN,18053,65769
US,IN,18055,31922
US,IN,18057,338011
US,IN,18059,78168
US,IN,18061,40515
US,IN,18063,170311
US,IN,18065,47972
US,IN,18067,82544
US,IN,18069,36520
US,IN,18071,44231
US,IN,18073,33562
US,IN,18075,20436
US,IN,18077,32308
US,IN,18079,27735
US,IN,18081,158167
US,IN,18083,36594
US,IN,18085,79456
US,IN,18087,39614
US,IN,18089,485493
US,IN,18091,109888
US,IN,18093,45370
US,IN,18095,129569
US,IN,18097,964582
US,IN,18099,46258
US,IN,18101,10255
US,IN,18103,35516
US,IN,18105,148431
US,IN,18107,38338
US,IN,18109,70489
US,IN,18111,13984
US,IN,18113,47744
US,IN,18115,5875
US,IN,18117,19646
US,IN,18119,20799
US,IN,18121,16937
US,IN,18123,19169
US,IN,18125,12389
US,IN,18127,170389
US,IN,18129,25427
US,IN,18131,12353
US,IN,18133,37576
US,IN,18135,24665
US,IN,18137,28324
US,IN,18139,16581
US,IN,18141,271826
US,IN,18143,23873
US,IN,18145,44729
US,IN,18147,20277
US,IN,18149,22995
US,IN,18151,34594
US,IN,18153,20669
US,IN,18155,10751
US,IN,18157,195732
US,IN,18159,15148
US,IN,18161,7054
US,IN,18163,181451
US,IN,18165,15498
US,IN,18167,107038
US,IN,18169,30996
US,IN,18171,8265
US,IN,18173,62998
US,IN,18175,28036
US,IN,18177,65884
US,IN,18179,28296
US,IN,18181,24102
US,IN,18183,33964
US,IA,00019,3155070
US,IA,19001,7152
US,IA,19003,3602
US,IA,19005,13687
US,IA,19007,12426
US,IA,19009,5496
US,IA,19011,25645
US,IA,19013,131228
US,IA,19015,26234
US,IA,19017,25062
US,IA,19019,21175
US,IA,19021,19620
US,IA,19023,14439
US,IA,19025,9668
US,IA,19027,20165
US,IA,19029,12836
US,IA,19031,18627
US,IA,19033,42450
US,IA,19035,11235
US,IA,19037,11933
US,IA,19039,9395
US,IA,19041,16016
US,IA,19043,17549
US,IA,19045,46429
US,IA,19047,16820
US,IA,19049,93453
US,IA,19051,9000
US,IA,19053,7870
US,IA,19055,17011
US,IA,19057,38967
US,IA,19059,17258
US,IA,19061,97311
US,IA,19063,9208
US,IA,19065,19650
US,IA,19067,15642
US,IA,19069,10070
US,IA,19071,6960
US,IA,19073,8888
US,IA,19075,12232
US,IA,19077,10689
US,IA,19079,14773
US,IA,19081,10630
US,IA,19083,16846
US,IA,19085,14049
US,IA,19087,19954
US,IA,19089,9158
US,IA,19091,9558
US,IA,19093,6860
US,IA,19095,16184
US,IA,19097,19439
US,IA,19099,37185
US,IA,19101,18295
US,IA,19103,151140
US,IA,19105,20681
US,IA,19107,10246
US,IA,19109,14813
US,IA,19111,33657
US,IA,19113,226706
US,IA,19115,11035
US,IA,19117,8600
US,IA,19119,11755
US,IA,19121,16338
US,IA,19123,22095
US,IA,19125,33253
US,IA,19127,39369
US,IA,19129,15109
US,IA,19131,10586
US,IA,19133,8615
US,IA,19135,7707
US,IA,19137,9917
US,IA,19139,42664
US,IA,19141,13753
US,IA,19143,5958
US,IA,19145,15107
US,IA,19147,8886
US,IA,19149,25177
US,IA,19151,6619
US,IA,19153,490161
US,IA,19155,93206
US,IA,19157,18504
US,IA,19159,4894
US,IA,19161,9721
US,IA,19163,172943
US,IA,19165,11454
US,IA,19167,34855
US,IA,19169,97117
US,IA,19171,16854
US,IA,19173,6121
US,IA,19175,12241
US,IA,19177,7044
US,IA,19179,34969
US,IA,19181,51466
US,IA,19183,21965
US,IA,19185,6441
US,IA,19187,35904
US,IA,19189,10354
US,IA,19191,19991
US,IA,19193,103107
US,IA,19195,7381
US,IA,19197,12562
US,KS,00020,2913314
US,KS,20001,12369
US,KS,20003,7858
US,KS,20005,16073
US,KS,20007,4427
US,KS,20009,25779
US,KS,20011,14534
US,KS,20013,9564
US,KS,20015,66911
US,KS,20017,2648
US,KS,20019,3250
US,KS,20021,19939
US,KS,20023,2657
US,KS,20025,1994
US,KS,20027,8002
US,KS,20029,8786
US,KS,20031,8179
US,KS,20033,1700
US,KS,20035,34908
US,KS,20037,38818
US,KS,20039,2827
US,KS,20041,18466
US,KS,20043,7600
US,KS,20045,122259
US,KS,20047,2798
US,KS,20049,2530
US,KS,20051,28553
US,KS,20053,6102
US,KS,20055,36467
US,KS,20057,33619
US,KS,20059,25544
US,KS,20061,31670
US,KS,20063,2636
US,KS,20065,2482
US,KS,20067,7150
US,KS,20069,5988
US,KS,20071,1232
US,KS,20073,5982
US,KS,20075,2539
US,KS,20077,5436
US,KS,20079,34429
US,KS,20081,3968
US,KS,20083,1794
US,KS,20085,13171
US,KS,20087,19043
US,KS,20089,2879
US,KS,20091,602401
US,KS,20093,3838
US,KS,20095,7152
US,KS,20097,2475
US,KS,20099,19618
US,KS,20101,1535
US,KS,20103,81758
US,KS,20105,2962
US,KS,20107,9703
US,KS,20109,2794
US,KS,20111,33195
US,KS,20113,28542
US,KS,20115,11884
US,KS,20117,9707
US,KS,20119,4033
US,KS,20121,34237
US,KS,20123,5979
US,KS,20125,31829
US,KS,20127,5620
US,KS,20129,2587
US,KS,20131,10231
US,KS,20133,16007
US,KS,20135,2750
US,KS,20137,5361
US,KS,20139,15949
US,KS,20141,3421
US,KS,20143,5704
US,KS,20145,6414
US,KS,20147,5234
US,KS,20149,24383
US,KS,20151,9164
US,KS,20153,2530
US,KS,20155,61998
US,KS,20157,4636
US,KS,20159,9537
US,KS,20161,74232
US,KS,20163,4920
US,KS,20165,3036
US,KS,20167,6856
US,KS,20169,54224
US,KS,20171,4823
US,KS,20173,516042
US,KS,20175,21428
US,KS,20177,176875
US,KS,20179,2521
US,KS,20181,5917
US,KS,20183,3583
US,KS,20185,4156
US,KS,20187,2006
US,KS,20189,5485
US,KS,20191,22836
US,KS,20193,7777
US,KS,20195,2803
US,KS,20197,6931
US,KS,20199,1518
US,KS,20201,5406
US,KS,20203,2119
US,KS,20205,8525
US,KS,20207,3138
US,KS,20209,165429
US,KY,00021,4467673
US,KY,21001,19202
US,KY,21003,21315
US,KY,21005,22747
US,KY,21007,7888
US,KY,21009,44249
US,KY,21011,12500
US,KY,21013,26032
US,KY,21015,133581
US,KY,21017,19788
US,KY,21019,46718
US,KY,21021,30060
US,KY,21023,8303
US,KY,21025,12630
US,KY,21027,20477
US,KY,21029,81676
US,KY,21031,12879
US,KY,21033,12747
US,KY,21035,39001
US,KY,21037,93584
US,KY,21039,4760
US,KY,21041,10631
US,KY,21043,26797
US,KY,21045,16159
US,KY,21047,70461
US,KY,21049,36263
US,KY,21051,19901
US,KY,21053,10218
US,KY,21055,8806
US,KY,21057,6614
US,KY,21059,101511
US,KY,21061,12150
US,KY,21063,7517
US,KY,21065,14106
US,KY,21067,323152
US,KY,21069,14581
US,KY,21071,35589
US,KY,21073,50991
US,KY,21075,5969
US,KY,21077,8869
US,KY,21079,17666
US,KY,21081,25069
US,KY,21083,37266
US,KY,21085,26427
US,KY,21087,10941
US,KY,21089,35098
US,KY,21091,8722
US,KY,21093,110958
US,KY,21095,26010
US,KY,21097,18886
US,KY,21099,19035
US,KY,21101,45210
